url,host,section,subsection,depth,slug,lastmod,from_sitemap,evidence
https://www.braze.com/,www.braze.com,(root),,0,,2026-09-01,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/20210916_mastering-brilliant-customer-engagement-viacomcbs,www.braze.com,20210916_mastering-brilliant-customer-engagement-viacomcbs,,1,20210916_mastering-brilliant-customer-engagement-viacomcbs,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/427-innovation-lab,www.braze.com,427-innovation-lab,,1,427-innovation-lab,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/7eleven-power-of-braze,www.braze.com,7eleven-power-of-braze,,1,7eleven-power-of-braze,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/abm-test-page,www.braze.com,abm-test-page,,1,abm-test-page,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/accelerate-hub,www.braze.com,accelerate-hub,,1,accelerate-hub,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/ace-hub,www.braze.com,ace-hub,,1,ace-hub,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/activate-data-to-fuel-better-results,www.braze.com,activate-data-to-fuel-better-results,,1,activate-data-to-fuel-better-results,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/activate-hub,www.braze.com,activate-hub,,1,activate-hub,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/affirm,www.braze.com,affirm,,1,affirm,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/american-airlines-power-of-braze,www.braze.com,american-airlines-power-of-braze,,1,american-airlines-power-of-braze,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/amplify,www.braze.com,amplify,,1,amplify,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/ana-masters-of-marketing,www.braze.com,ana-masters-of-marketing,,1,ana-masters-of-marketing,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/aws-get-started,www.braze.com,aws-get-started,,1,aws-get-started,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/become-a-braze-solutions-partner,www.braze.com,become-a-braze-solutions-partner,,1,become-a-braze-solutions-partner,2025-09-17,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/become-a-braze-technology-partner,www.braze.com,become-a-braze-technology-partner,,1,become-a-braze-technology-partner,2025-09-17,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/beta-terms,www.braze.com,beta-terms,,1,beta-terms,2026-09-01,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/bfcm,www.braze.com,bfcm,,1,bfcm,2026-06-25,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/big-customer-stories,www.braze.com,big-customer-stories,,1,big-customer-stories,2026-08-11,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/bko-2022,www.braze.com,bko-2022,,1,bko-2022,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/boost-productivity,www.braze.com,boost-productivity,,1,boost-productivity,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/brand,www.braze.com,brand,,1,brand,2026-04-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/brand-campaign,www.braze.com,brand-campaign,,1,brand-campaign,2026-03-17,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/braze-differentiators,www.braze.com,braze-differentiators,,1,braze-differentiators,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/braze-for-retail,www.braze.com,braze-for-retail,,1,braze-for-retail,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
https://www.braze.com/braze-for-startups,www.braze.com,braze-for-startups,,1,braze-for-startups,2026-07-22,https://www.braze.com/sitemap/en-us_0.xml,company-own (site inventory)
