form,filed,period,accession,primary_doc,description,items,url,evidence
4,2026-07-02,2026-06-30,0001583097-26-000007,xslF345X06/wk-form4_1783024580.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000158309726000007/xslF345X06/wk-form4_1783024580.xml,statutory (SEC EDGAR)
4,2026-07-02,2026-06-30,0001120741-26-000002,xslF345X06/wk-form4_1783024398.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000112074126000002/xslF345X06/wk-form4_1783024398.xml,statutory (SEC EDGAR)
4,2026-07-02,2026-06-30,0001200465-26-000005,xslF345X06/wk-form4_1783024345.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000120046526000005/xslF345X06/wk-form4_1783024345.xml,statutory (SEC EDGAR)
4,2026-07-02,2026-06-30,0001801288-26-000008,xslF345X06/wk-form4_1783024301.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000180128826000008/xslF345X06/wk-form4_1783024301.xml,statutory (SEC EDGAR)
4,2026-07-02,2026-06-30,0001532809-26-000007,xslF345X06/wk-form4_1783024231.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000153280926000007/xslF345X06/wk-form4_1783024231.xml,statutory (SEC EDGAR)
144,2026-06-26,,0001950047-26-006568,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726006568/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2026-06-26,2026-06-24,0001888935-26-000011,xslF345X06/wk-form4_1782505452.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000011/xslF345X06/wk-form4_1782505452.xml,statutory (SEC EDGAR)
4,2026-06-09,2026-06-05,0001532809-26-000005,xslF345X06/form4-06092026_090622.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000153280926000005/xslF345X06/form4-06092026_090622.xml,statutory (SEC EDGAR)
SCHEDULE 13G,2026-06-05,,0000315066-26-001413,xslSCHEDULE_13G_X02/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000031506626001413/xslSCHEDULE_13G_X02/primary_doc.xml,statutory (SEC EDGAR)
4,2026-06-02,2026-05-29,0001426395-26-000004,xslF345X06/wk-form4_1780431671.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000142639526000004/xslF345X06/wk-form4_1780431671.xml,statutory (SEC EDGAR)
144,2026-06-01,,0001950047-26-005389,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726005389/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
3,2026-05-29,2026-05-19,0000950103-26-008085,xslF345X06/ownership.xml,FORM 3,,https://www.sec.gov/Archives/edgar/data/1676238/000095010326008085/xslF345X06/ownership.xml,statutory (SEC EDGAR)
10-Q,2026-05-28,2026-04-30,0001676238-26-000027,brze-20260430.htm,10-Q,,https://www.sec.gov/Archives/edgar/data/1676238/000167623826000027/brze-20260430.htm,statutory (SEC EDGAR)
8-K,2026-05-27,2026-05-25,0001676238-26-000024,brz-20260525.htm,8-K,"2.02,5.02,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623826000024/brz-20260525.htm,statutory (SEC EDGAR)
4,2026-05-19,2026-05-15,0001888932-26-000009,xslF345X06/wk-form4_1779223128.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893226000009/xslF345X06/wk-form4_1779223128.xml,statutory (SEC EDGAR)
4,2026-05-19,2026-05-15,0002060697-26-000006,xslF345X06/wk-form4_1779223092.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000206069726000006/xslF345X06/wk-form4_1779223092.xml,statutory (SEC EDGAR)
4,2026-05-19,2026-05-15,0001889225-26-000006,xslF345X06/wk-form4_1779223052.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188922526000006/xslF345X06/wk-form4_1779223052.xml,statutory (SEC EDGAR)
4,2026-05-19,2026-05-15,0001888946-26-000011,xslF345X06/wk-form4_1779223005.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188894626000011/xslF345X06/wk-form4_1779223005.xml,statutory (SEC EDGAR)
4,2026-05-19,2026-05-15,0001889752-26-000012,xslF345X06/wk-form4_1779222963.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188975226000012/xslF345X06/wk-form4_1779222963.xml,statutory (SEC EDGAR)
4,2026-05-19,2026-05-15,0001888935-26-000009,xslF345X06/wk-form4_1779222895.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000009/xslF345X06/wk-form4_1779222895.xml,statutory (SEC EDGAR)
4,2026-05-19,2026-05-15,0002078285-26-000003,xslF345X06/wk-form4_1779222845.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000207828526000003/xslF345X06/wk-form4_1779222845.xml,statutory (SEC EDGAR)
ARS,2026-05-18,2026-01-31,0001140361-26-021911,ny20068382x4_ars.pdf,ARS,,https://www.sec.gov/Archives/edgar/data/1676238/000114036126021911/ny20068382x4_ars.pdf,statutory (SEC EDGAR)
DEFA14A,2026-05-18,,0001140361-26-021910,ny20068382x3_defa14a.htm,DEFA14A,,https://www.sec.gov/Archives/edgar/data/1676238/000114036126021910/ny20068382x3_defa14a.htm,statutory (SEC EDGAR)
DEF 14A,2026-05-18,2026-06-30,0001140361-26-021908,ny20068382x2_def14a.htm,DEF 14A,,https://www.sec.gov/Archives/edgar/data/1676238/000114036126021908/ny20068382x2_def14a.htm,statutory (SEC EDGAR)
SCHEDULE 13G/A,2026-05-14,,0001062993-26-002627,xslSCHEDULE_13G_X02/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000106299326002627/xslSCHEDULE_13G_X02/primary_doc.xml,statutory (SEC EDGAR)
PRE 14A,2026-05-08,2026-06-30,0001140361-26-020058,ny20068382x1_pre14a.htm,PRE 14A,,https://www.sec.gov/Archives/edgar/data/1676238/000114036126020058/ny20068382x1_pre14a.htm,statutory (SEC EDGAR)
8-K,2026-04-28,2026-04-28,0000950103-26-006243,dp245711_8k.htm,FORM 8-K,"5.02,7.01,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000095010326006243/dp245711_8k.htm,statutory (SEC EDGAR)
SCHEDULE 13G/A,2026-04-24,,0001104659-26-048744,xslSCHEDULE_13G_X02/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000110465926048744/xslSCHEDULE_13G_X02/primary_doc.xml,statutory (SEC EDGAR)
4,2026-04-13,2026-04-09,0001889752-26-000010,xslF345X06/wk-form4_1776113129.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188975226000010/xslF345X06/wk-form4_1776113129.xml,statutory (SEC EDGAR)
144,2026-04-09,,0001950047-26-003348,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726003348/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2026-04-08,2026-04-06,0001888946-26-000009,xslF345X06/wk-form4_1775689671.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188894626000009/xslF345X06/wk-form4_1775689671.xml,statutory (SEC EDGAR)
8-K,2026-04-07,2026-04-07,0001676238-26-000016,brz-20260407.htm,8-K,"5.02,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623826000016/brz-20260407.htm,statutory (SEC EDGAR)
144,2026-04-06,,0001950047-26-003247,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726003247/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2026-03-26,,0000102909-26-000823,xslSCHEDULE_13G_X02/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000010290926000823/xslSCHEDULE_13G_X02/primary_doc.xml,statutory (SEC EDGAR)
S-8,2026-03-25,,0000950103-26-004653,dp244112_s8.htm,FORM S-8,,https://www.sec.gov/Archives/edgar/data/1676238/000095010326004653/dp244112_s8.htm,statutory (SEC EDGAR)
10-K,2026-03-25,2026-01-31,0001676238-26-000013,brze-20260131.htm,10-K,,https://www.sec.gov/Archives/edgar/data/1676238/000167623826000013/brze-20260131.htm,statutory (SEC EDGAR)
8-K,2026-03-24,2026-03-24,0001676238-26-000011,brz-20260324.htm,8-K,"2.02,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623826000011/brz-20260324.htm,statutory (SEC EDGAR)
4,2026-03-20,2026-03-18,0000950103-26-004495,xslF345X06/ownership.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000095010326004495/xslF345X06/ownership.xml,statutory (SEC EDGAR)
4,2026-03-20,2026-03-18,0001889225-26-000004,xslF345X06/wk-form4_1774046038.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188922526000004/xslF345X06/wk-form4_1774046038.xml,statutory (SEC EDGAR)
4,2026-03-20,2026-03-18,0001888932-26-000007,xslF345X06/wk-form4_1774046013.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893226000007/xslF345X06/wk-form4_1774046013.xml,statutory (SEC EDGAR)
4,2026-03-20,2026-03-18,0001888946-26-000007,xslF345X06/wk-form4_1774045992.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188894626000007/xslF345X06/wk-form4_1774045992.xml,statutory (SEC EDGAR)
4,2026-03-20,2026-03-18,0002060697-26-000004,xslF345X06/wk-form4_1774045970.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000206069726000004/xslF345X06/wk-form4_1774045970.xml,statutory (SEC EDGAR)
4,2026-03-20,2026-03-18,0001888935-26-000007,xslF345X06/wk-form4_1774045944.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000007/xslF345X06/wk-form4_1774045944.xml,statutory (SEC EDGAR)
4,2026-03-20,2026-03-18,0001889752-26-000008,xslF345X06/wk-form4_1774045916.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188975226000008/xslF345X06/wk-form4_1774045916.xml,statutory (SEC EDGAR)
4,2026-02-20,2026-02-18,0001888932-26-000005,xslF345X05/wk-form4_1771623432.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893226000005/xslF345X05/wk-form4_1771623432.xml,statutory (SEC EDGAR)
4,2026-02-20,2026-02-18,0001889225-26-000002,xslF345X05/wk-form4_1771623378.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188922526000002/xslF345X05/wk-form4_1771623378.xml,statutory (SEC EDGAR)
4,2026-02-20,2026-02-18,0001888935-26-000005,xslF345X05/wk-form4_1771623334.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000005/xslF345X05/wk-form4_1771623334.xml,statutory (SEC EDGAR)
4,2026-02-20,2026-02-18,0001888946-26-000005,xslF345X05/wk-form4_1771623229.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188894626000005/xslF345X05/wk-form4_1771623229.xml,statutory (SEC EDGAR)
4,2026-02-20,2026-02-18,0002060697-26-000002,xslF345X05/wk-form4_1771623184.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000206069726000002/xslF345X05/wk-form4_1771623184.xml,statutory (SEC EDGAR)
4,2026-02-20,2026-02-18,0001889752-26-000006,xslF345X05/wk-form4_1771623144.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188975226000006/xslF345X05/wk-form4_1771623144.xml,statutory (SEC EDGAR)
144,2026-02-19,,0001950047-26-001519,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004726001519/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2026-02-17,,0001665603-26-000006,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000166560326000006/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2026-02-17,,0001062993-26-000970,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000106299326000970/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
4,2026-02-03,2026-01-30,0001532809-26-000002,xslF345X05/form4-02032026_110221.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000153280926000002/xslF345X05/form4-02032026_110221.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2026-02-03,,0000950103-26-001568,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000095010326001568/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G,2026-02-02,,0001104659-26-009318,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000110465926009318/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
4,2026-02-02,2026-01-30,0001888935-26-000003,xslF345X05/wk-form4_1770037549.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893526000003/xslF345X05/wk-form4_1770037549.xml,statutory (SEC EDGAR)
4,2026-02-02,2026-01-30,0001583097-26-000003,xslF345X05/wk-form4_1770037521.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000158309726000003/xslF345X05/wk-form4_1770037521.xml,statutory (SEC EDGAR)
4,2026-02-02,2026-01-30,0001888932-26-000003,xslF345X05/wk-form4_1770037490.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893226000003/xslF345X05/wk-form4_1770037490.xml,statutory (SEC EDGAR)
4,2026-02-02,2026-01-30,0001888946-26-000003,xslF345X05/wk-form4_1770037455.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188894626000003/xslF345X05/wk-form4_1770037455.xml,statutory (SEC EDGAR)
4,2026-02-02,2026-01-30,0001889752-26-000004,xslF345X05/wk-form4_1770037416.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188975226000004/xslF345X05/wk-form4_1770037416.xml,statutory (SEC EDGAR)
4,2026-02-02,2026-01-30,0001200465-26-000003,xslF345X05/wk-form4_1770037362.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000120046526000003/xslF345X05/wk-form4_1770037362.xml,statutory (SEC EDGAR)
8-K,2026-02-02,2026-01-30,0001676238-26-000006,brz-20260130.htm,8-K,"3.03,5.03,8.01,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623826000006/brz-20260130.htm,statutory (SEC EDGAR)
SCHEDULE 13G,2026-01-21,,0001104659-26-005377,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000110465926005377/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
4,2025-12-19,2025-12-17,0001889225-25-000009,xslF345X05/wk-form4_1766179152.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188922525000009/xslF345X05/wk-form4_1766179152.xml,statutory (SEC EDGAR)
144,2025-12-17,,0001950047-25-010482,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004725010482/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2025-12-10,2025-12-08,0001231919-25-000598,xslF345X05/form4-12102025_101211.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000123191925000598/xslF345X05/form4-12102025_101211.xml,statutory (SEC EDGAR)
10-Q,2025-12-10,2025-10-31,0001676238-25-000147,brze-20251031.htm,10-Q,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000147/brze-20251031.htm,statutory (SEC EDGAR)
8-K,2025-12-09,2025-12-09,0001676238-25-000145,brz-20251209.htm,8-K,"2.02,7.01,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623825000145/brz-20251209.htm,statutory (SEC EDGAR)
4,2025-11-20,2025-11-18,0001889752-25-000004,xslF345X05/wk-form4_1763679357.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188975225000004/xslF345X05/wk-form4_1763679357.xml,statutory (SEC EDGAR)
4,2025-11-20,2025-11-18,0001888946-25-000004,xslF345X05/wk-form4_1763679325.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188894625000004/xslF345X05/wk-form4_1763679325.xml,statutory (SEC EDGAR)
4,2025-11-20,2025-11-18,0001888932-25-000004,xslF345X05/wk-form4_1763679126.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893225000004/xslF345X05/wk-form4_1763679126.xml,statutory (SEC EDGAR)
4,2025-11-20,2025-11-18,0001888935-25-000004,xslF345X05/wk-form4_1763678921.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188893525000004/xslF345X05/wk-form4_1763678921.xml,statutory (SEC EDGAR)
4,2025-11-20,2025-11-18,0001889225-25-000006,xslF345X05/wk-form4_1763678699.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188922525000006/xslF345X05/wk-form4_1763678699.xml,statutory (SEC EDGAR)
4,2025-11-20,2025-11-18,0002060697-25-000004,xslF345X05/wk-form4_1763678652.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000206069725000004/xslF345X05/wk-form4_1763678652.xml,statutory (SEC EDGAR)
144,2025-11-20,,0001950047-25-009152,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004725009152/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-11-12,,0000950103-25-014636,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000095010325014636/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-10-30,,0000102909-25-000109,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000010290925000109/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
4,2025-10-02,2025-09-30,0001532809-25-000005,xslF345X05/form4-10022025_081056.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000153280925000005/xslF345X05/form4-10022025_081056.xml,statutory (SEC EDGAR)
4,2025-09-22,2025-09-18,0001889225-25-000004,xslF345X05/wk-form4_1758576847.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000188922525000004/xslF345X05/wk-form4_1758576847.xml,statutory (SEC EDGAR)
144,2025-09-18,,0001950047-25-007306,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004725007306/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2025-09-09,2025-09-05,0001676238-25-000139,xslF345X05/wk-form4_1757451118.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000139/xslF345X05/wk-form4_1757451118.xml,statutory (SEC EDGAR)
4,2025-09-05,2025-09-04,0001676238-25-000137,xslF345X05/wk-form4_1757108832.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000137/xslF345X05/wk-form4_1757108832.xml,statutory (SEC EDGAR)
144,2025-09-05,,0001950047-25-006795,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004725006795/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
10-Q,2025-09-05,2025-07-31,0001676238-25-000134,brze-20250731.htm,10-Q,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000134/brze-20250731.htm,statutory (SEC EDGAR)
8-K,2025-09-04,2025-09-04,0001676238-25-000132,brz-20250904.htm,8-K,"2.02,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623825000132/brz-20250904.htm,statutory (SEC EDGAR)
4,2025-08-21,2025-08-19,0001676238-25-000125,xslF345X05/wk-form4_1755810396.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000125/xslF345X05/wk-form4_1755810396.xml,statutory (SEC EDGAR)
4,2025-08-21,2025-08-19,0001676238-25-000123,xslF345X05/wk-form4_1755810313.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000123/xslF345X05/wk-form4_1755810313.xml,statutory (SEC EDGAR)
4,2025-08-21,2025-08-19,0001676238-25-000121,xslF345X05/wk-form4_1755810177.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000121/xslF345X05/wk-form4_1755810177.xml,statutory (SEC EDGAR)
4,2025-08-21,2025-08-19,0001676238-25-000119,xslF345X05/wk-form4_1755810069.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000119/xslF345X05/wk-form4_1755810069.xml,statutory (SEC EDGAR)
4,2025-08-21,2025-08-19,0001676238-25-000117,xslF345X05/wk-form4_1755809970.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000117/xslF345X05/wk-form4_1755809970.xml,statutory (SEC EDGAR)
4,2025-08-21,2025-08-19,0001676238-25-000115,xslF345X05/wk-form4_1755809186.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000115/xslF345X05/wk-form4_1755809186.xml,statutory (SEC EDGAR)
4,2025-08-21,2025-08-19,0001676238-25-000113,xslF345X05/wk-form4_1755809074.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000113/xslF345X05/wk-form4_1755809074.xml,statutory (SEC EDGAR)
144,2025-08-20,,0001950047-25-006102,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004725006102/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2025-08-19,2025-08-15,0001676238-25-000111,xslF345X05/wk-form4_1755635594.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000111/xslF345X05/wk-form4_1755635594.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-08-14,,0001415889-25-021857,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588925021857/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-08-14,,0001011438-25-000440,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000101143825000440/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
SCHEDULE 13G/A,2025-08-14,,0000950170-25-108432,xslSCHEDULE_13G_X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000095017025108432/xslSCHEDULE_13G_X01/primary_doc.xml,statutory (SEC EDGAR)
4,2025-07-30,2025-07-28,0001676238-25-000109,xslF345X05/wk-form4_1753909420.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000109/xslF345X05/wk-form4_1753909420.xml,statutory (SEC EDGAR)
144,2025-07-28,,0001950047-25-005224,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004725005224/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
3,2025-07-25,2025-07-07,0000950103-25-009308,xslF345X02/dp232060_3-mcdonnell.xml,FORM 3,,https://www.sec.gov/Archives/edgar/data/1676238/000095010325009308/xslF345X02/dp232060_3-mcdonnell.xml,statutory (SEC EDGAR)
4,2025-07-15,2025-07-14,0001676238-25-000107,xslF345X05/wk-form4_1752610084.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000107/xslF345X05/wk-form4_1752610084.xml,statutory (SEC EDGAR)
4,2025-07-15,2025-07-11,0001676238-25-000106,xslF345X05/wk-form4_1752610049.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000106/xslF345X05/wk-form4_1752610049.xml,statutory (SEC EDGAR)
144,2025-07-14,,0001950047-25-004995,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004725004995/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
144,2025-07-03,,0001950047-25-004838,xsl144X01/primary_doc.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000195004725004838/xsl144X01/primary_doc.xml,statutory (SEC EDGAR)
4,2025-06-30,2025-06-26,0001415889-25-018530,xslF345X05/form4-06302025_090658.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588925018530/xslF345X05/form4-06302025_090658.xml,statutory (SEC EDGAR)
4,2025-06-27,2025-06-26,0001676238-25-000099,xslF345X05/wk-form4_1751056685.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000099/xslF345X05/wk-form4_1751056685.xml,statutory (SEC EDGAR)
4,2025-06-27,2025-06-26,0001676238-25-000097,xslF345X05/wk-form4_1751056604.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000097/xslF345X05/wk-form4_1751056604.xml,statutory (SEC EDGAR)
4,2025-06-27,2025-06-25,0001676238-25-000095,xslF345X05/wk-form4_1751056503.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000095/xslF345X05/wk-form4_1751056503.xml,statutory (SEC EDGAR)
4,2025-06-27,2025-06-26,0001676238-25-000093,xslF345X05/wk-form4_1751056413.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000093/xslF345X05/wk-form4_1751056413.xml,statutory (SEC EDGAR)
4,2025-06-27,2025-06-26,0001676238-25-000091,xslF345X05/wk-form4_1751056296.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000091/xslF345X05/wk-form4_1751056296.xml,statutory (SEC EDGAR)
8-K,2025-06-27,2025-06-26,0001676238-25-000088,brz-20250626.htm,8-K,5.07,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000088/brz-20250626.htm,statutory (SEC EDGAR)
4,2025-06-18,2025-06-16,0001676238-25-000085,xslF345X05/wk-form4_1750288771.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000085/xslF345X05/wk-form4_1750288771.xml,statutory (SEC EDGAR)
4,2025-06-18,2025-06-16,0001676238-25-000083,xslF345X05/wk-form4_1750288194.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000083/xslF345X05/wk-form4_1750288194.xml,statutory (SEC EDGAR)
4,2025-06-18,2025-06-16,0001676238-25-000081,xslF345X05/wk-form4_1750287632.xml,FORM 4,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000081/xslF345X05/wk-form4_1750287632.xml,statutory (SEC EDGAR)
S-3ASR,2025-06-06,,0000950103-25-007111,dp229887_s3asr.htm,FORM S-3ASR,,https://www.sec.gov/Archives/edgar/data/1676238/000095010325007111/dp229887_s3asr.htm,statutory (SEC EDGAR)
10-Q,2025-06-06,2025-04-30,0001676238-25-000079,brze-20250430.htm,10-Q,,https://www.sec.gov/Archives/edgar/data/1676238/000167623825000079/brze-20250430.htm,statutory (SEC EDGAR)
8-K,2025-06-05,2025-06-01,0001676238-25-000077,brz-20250601.htm,8-K,"2.02,5.02,9.01",https://www.sec.gov/Archives/edgar/data/1676238/000167623825000077/brz-20250601.htm,statutory (SEC EDGAR)
4,2025-06-02,2025-05-29,0001415889-25-015268,xslF345X05/form4-06022025_100602.xml,,,https://www.sec.gov/Archives/edgar/data/1676238/000141588925015268/xslF345X05/form4-06022025_100602.xml,statutory (SEC EDGAR)
4/A,2025-05-22,2025-05-19,0000950103-25-006348,xslF345X05/dp229148_4a-braze.xml,FORM 4/A,,https://www.sec.gov/Archives/edgar/data/1676238/000095010325006348/xslF345X05/dp229148_4a-braze.xml,statutory (SEC EDGAR)
